urn:cts:greekLit:tlg0012.tlg001.msA:1.1	<l xmlns="http://www.tei-c.org/ns/1.0" n="1"> Μῆνιν ἄειδε θεὰ <persName n="urn:cite:hmt:pers.pers1"> Πηληϊάδεω Ἀχιλῆος</persName></l>
urn:cts:greekLit:tlg0012.tlg001.msA:3.333	<l xmlns="http://www.tei-c.org/ns/1.0" n="333"> οἷο κασιγνήτοιο <persName n="urn:cite:hmt:pers.pers140"> Λυκάονος</persName> · ἥρμοσε δ' αὐτῷ· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:3.339	<l xmlns="http://www.tei-c.org/ns/1.0" n="339"> ὡς δ' αὔτως <persName n="urn:cite:hmt:pers.pers119"> Μενέλαος</persName> ἀρήϊος ἔντε' ἔδυνεν· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:3.346	<l xmlns="http://www.tei-c.org/ns/1.0" n="346"> πρόσθε δ' <persName n="urn:cite:hmt:pers.pers129"> Ἀλέξανδρος</persName> προ ἵ̈ει δολιχόσκιον ἔγχος· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:3.347	<l xmlns="http://www.tei-c.org/ns/1.0" n="347"> καὶ βάλεν <persName n="urn:cite:hmt:pers.pers119"> Ἀτρείδαο</persName> κατ' ἀσπίδα πάντοσε ἴσην·</l>
urn:cts:greekLit:tlg0012.tlg001.msA:3.350	<l xmlns="http://www.tei-c.org/ns/1.0" n="350"> <persName n="urn:cite:hmt:pers.pers119"> Ἀτρείδης Μενέλαος</persName> · ἐπευξάμενος <persName n="urn:cite:hmt:pers.pers8"> Διῒ</persName> πατρί·</l>
urn:cts:greekLit:tlg0012.tlg001.msA:3.351	<l xmlns="http://www.tei-c.org/ns/1.0" n="351"> <persName n="urn:cite:hmt:pers.pers8"> Ζεῦ</persName> ἄνα. δὸς τίσασθαι ὅ με πρότερος κακ' ἔοργε </l>
urn:cts:greekLit:tlg0012.tlg001.msA:3.352	<l xmlns="http://www.tei-c.org/ns/1.0" n="352"> δῖον <persName n="urn:cite:hmt:pers.pers129"> Ἀλέξανδρον</persName> · καὶ ἐμῇς ὑπο χερσὶ δάμασσον. </l>
urn:cts:greekLit:tlg0012.tlg001.msA:3.356	<l xmlns="http://www.tei-c.org/ns/1.0" n="356"> καὶ βάλε <persName n="urn:cite:hmt:pers.pers129"> Πριαμίδαο</persName> κατ ἀσπίδα πάντοσε ἴσην· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:3.361	<l xmlns="http://www.tei-c.org/ns/1.0" n="361"> <persName n="urn:cite:hmt:pers.pers119"> Ἀτρεΐδης</persName> δὲ ἐρυσσάμενος ξίφος ἀργυρόηλον </l>
urn:cts:greekLit:tlg0012.tlg001.msA:3.364	<l xmlns="http://www.tei-c.org/ns/1.0" n="364"> <persName n="urn:cite:hmt:pers.pers119"> Ἀτρείδης</persName> δ' ᾤμωξεν ἰ̈δὼν εἰς οὐρανὸν εὐρύν· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:3.365	<l xmlns="http://www.tei-c.org/ns/1.0" n="365"> <persName n="urn:cite:hmt:pers.pers8"> Ζεῦ</persName> πάτερ οὔ τις σεῖο θεῶν ὀλοώτερος ἄλλος· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:3.366	<l xmlns="http://www.tei-c.org/ns/1.0" n="366"> ῆ τ' ἐφάμην τί̄σασθαι <persName n="urn:cite:hmt:pers.pers129"> Ἀλέξανδρον</persName> κακότητος· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:3.374	<l xmlns="http://www.tei-c.org/ns/1.0" n="374"> εἰ μὴ αρ' ὀξὺ νόησε <persName n="urn:cite:hmt:pers.pers8"> Διὸς</persName> θυγάτηρ <persName n="urn:cite:hmt:pers.pers194"> Ἀφροδίτη</persName></l>
urn:cts:greekLit:tlg0012.tlg001.msA:3.380	<l xmlns="http://www.tei-c.org/ns/1.0" n="380"> ἔγχεϊ χαλκείῳ· τον δ' ἐξήρπαξ' <persName n="urn:cite:hmt:pers.pers194"> Ἀφροδίτη</persName></l>
urn:cts:greekLit:tlg0012.tlg001.msA:3.383	<l xmlns="http://www.tei-c.org/ns/1.0" n="383"> αὐτὴ δ' αῦθ' <persName n="urn:cite:hmt:pers.pers94"> Ἑλένην</persName> καλέους' ΐε· την δ' ἐκιχανε </l>
urn:cts:greekLit:tlg0012.tlg001.msA:3.389	<l xmlns="http://www.tei-c.org/ns/1.0" n="389"> τῇ μιν ἐεισαμένη προσεφώνεε δῖ' <persName n="urn:cite:hmt:pers.pers194"> Ἀφροδίτη</persName> · </l>
urn:cts:greekLit:tlg0012.tlg001.msA:3.390	<l xmlns="http://www.tei-c.org/ns/1.0" n="390"> δεῦρ' ΐθ'· <persName n="urn:cite:hmt:pers.pers129"> Ἀλεξανδρός</persName> σε καλεῖ οἶκον δὲ νέεσθαι·</l>
urn:cts:greekLit:tlg0012.tlg001.msA:3.403	<l xmlns="http://www.tei-c.org/ns/1.0" n="403"> οὕνεκα δὴ νῦν δῖον <persName n="urn:cite:hmt:pers.pers129"> Ἀλέξανδρον</persName> <persName n="urn:cite:hmt:pers.pers119"> Μενέλαος</persName></l>
urn:cts:greekLit:tlg0012.tlg001.msA:3.413	<l xmlns="http://www.tei-c.org/ns/1.0" n="413"> τὴν δὲ χολωσαμένη προσεφώνεε δῖ' <persName n="urn:cite:hmt:pers.pers194"> Ἀφροδίτη</persName> · </l>
urn:cts:greekLit:tlg0012.tlg001.msA:3.417	<l xmlns="http://www.tei-c.org/ns/1.0" n="417"> <rs n="urn:cite:hmt:place.place6" type="ethnic"> Τρώων</rs> καὶ <rs n="urn:cite:hmt:pers.pers66" type="ethnic"> Δαναῶν</rs> · σὺ δέ κεν κακὸν οῖτον ὄληαι· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:3.418	<l xmlns="http://www.tei-c.org/ns/1.0" n="418"> ὡς έφατ'· ἔδδεισεν δ' <persName n="urn:cite:hmt:pers.pers94"> Ἑλένη</persName> <persName n="urn:cite:hmt:pers.pers8"> Διὸς</persName> ἐκγεγαυῖα· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:3.421	<l xmlns="http://www.tei-c.org/ns/1.0" n="421"> Αἱδ' ὅτ' <persName n="urn:cite:hmt:pers.pers129"> Ἀλεξάνδροιο</persName> δόμον περικαλλέ' ΐκοντο· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:3.424	<l xmlns="http://www.tei-c.org/ns/1.0" n="424"> τῇ δ' άρα δίφρον ἑλοῦσα φιλομμειδὴς <persName n="urn:cite:hmt:pers.pers194"> Ἀφροδίτη</persName> . </l>
urn:cts:greekLit:tlg0012.tlg001.msA:3.425	<l xmlns="http://www.tei-c.org/ns/1.0" n="425"> ἀντί' <persName n="urn:cite:hmt:pers.pers129"> Ἀλεξάνδροιο</persName> θεὰ κατέθηκε φέρουσα· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:3.426	<l xmlns="http://www.tei-c.org/ns/1.0" n="426"> ἔνθα κάθῐζ' <persName n="urn:cite:hmt:pers.pers94"> Ἑλένη</persName> κούρη <persName n="urn:cite:hmt:pers.pers8"> Διὸς</persName> αἰγιόχοιο </l>
urn:cts:greekLit:tlg0012.tlg001.msA:3.430	<l xmlns="http://www.tei-c.org/ns/1.0" n="430"> ῆ μὲν δὴ πρίν γ' εὔχε' ἀρηϊ φίλου <persName n="urn:cite:hmt:pers.pers119"> Μενελάου</persName></l>
urn:cts:greekLit:tlg0012.tlg001.msA:3.432	<l xmlns="http://www.tei-c.org/ns/1.0" n="432"> ἀλλ ἴ̈θι νῦν προκάλεσσαι ἀρηΐ φιλον <persName n="urn:cite:hmt:pers.pers119"> Μενέλαον</persName></l>
urn:cts:greekLit:tlg0012.tlg001.msA:3.434	<l xmlns="http://www.tei-c.org/ns/1.0" n="434"> παύσασθαι κέλομαι· μὴ δὲ ξανθῷ <persName n="urn:cite:hmt:pers.pers119"> Μενελάῳ</persName></l>
urn:cts:greekLit:tlg0012.tlg001.msA:3.439	<l xmlns="http://www.tei-c.org/ns/1.0" n="439"> νῦν μὲν γὰρ <persName n="urn:cite:hmt:pers.pers119"> Μενέλαος</persName> ἐνίκησεν σὺν <persName n="urn:cite:hmt:pers.pers67"> Ἀθήνῃ</persName> . </l>
urn:cts:greekLit:tlg0012.tlg001.msA:3.445	<l xmlns="http://www.tei-c.org/ns/1.0" n="445"> νήσῳ δ' ἐν <persName n="urn:cite:hmt:place.place300"> Κραναῇ</persName> ἐμίγην φιλότητι καὶ εὐνῇ. </l>
urn:cts:greekLit:tlg0012.tlg001.msA:3.449	<l xmlns="http://www.tei-c.org/ns/1.0" n="449"> <persName n="urn:cite:hmt:pers.pers119"> Ἀτρείδης</persName> δ' ἀν ὅμιλον ἐφοίτα θηρὶ ἐοικὼς. </l>
urn:cts:greekLit:tlg0012.tlg001.msA:3.450	<l xmlns="http://www.tei-c.org/ns/1.0" n="450"> εἴ που ἐς ἀθρήσειεν <persName n="urn:cite:hmt:pers.pers129"> Ἀλέξανδρον</persName> θεοειδέα· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:3.452	<l xmlns="http://www.tei-c.org/ns/1.0" n="452"> δεῖξαι <persName n="urn:cite:hmt:pers.pers129"> Ἀλέξανδρον</persName> τότ' ἀρηϊφίλῳ <persName n="urn:cite:hmt:pers.pers119"> Μενελάῳ</persName> · </l>
urn:cts:greekLit:tlg0012.tlg001.msA:3.455	<l xmlns="http://www.tei-c.org/ns/1.0" n="455"> τοῖσι δὲ καὶ μετέειπεν ἄναξ ἀνδρῶν <persName n="urn:cite:hmt:pers.pers22"> Ἀγαμέμνων</persName> ·</l>
urn:cts:greekLit:tlg0012.tlg001.msA:3.457	<l xmlns="http://www.tei-c.org/ns/1.0" n="457"> νίκη μὲν δὴ φαίνετ' ἀρηϊφίλου <persName n="urn:cite:hmt:pers.pers119"> Μενελάου</persName> · </l>
urn:cts:greekLit:tlg0012.tlg001.msA:3.458	<l xmlns="http://www.tei-c.org/ns/1.0" n="458"> ὑμεῖς δ' <rs n="urn:cite:hmt:place.place96" type="ethnic"> Ἀργείην</rs> <persName n="urn:cite:hmt:pers.pers94"> Ἑλένην</persName> καὶ κτήμαθ' ἅμ' αὐτῇ </l>
urn:cts:greekLit:tlg0012.tlg001.msA:3.461	<l xmlns="http://www.tei-c.org/ns/1.0" n="461"> ὡς έφατ' <persName n="urn:cite:hmt:pers.pers22"> Ἀτρείδης</persName> . ἐπι δ' ᾔνεον ἄλλοι <rs n="urn:cite:hmt:place.place96" type="ethnic"> Ἀχαιοί</rs> ⁑ </l>
urn:cts:greekLit:tlg0012.tlg001.msA:4.1	<l xmlns="http://www.tei-c.org/ns/1.0" n="1"> Οἱ δὲ θεοὶ παρ <persName n="urn:cite:hmt:pers.pers8"> Ζηνὶ</persName> καθήμενοι ἠγορόωντο </l>
urn:cts:greekLit:tlg0012.tlg001.msA:4.2	<l xmlns="http://www.tei-c.org/ns/1.0" n="2"> χρυσέῳ ἐν δαπέδῳ· μετα δέ σφισι πότνια <persName n="urn:cite:hmt:pers.pers181"> Ἥβη</persName></l>
urn:cts:greekLit:tlg0012.tlg001.msA:4.5	<l xmlns="http://www.tei-c.org/ns/1.0" n="5"> αὐτίκ᾽ ἐπειρᾶτο <persName n="urn:cite:hmt:pers.pers8"> Κρονίδης</persName> ἐρεθιζέμεν <persName n="urn:cite:hmt:pers.pers116"> Ἥρην</persName></l>
urn:cts:greekLit:tlg0012.tlg001.msA:4.7	<l xmlns="http://www.tei-c.org/ns/1.0" n="7"> δοιαὶ μὲν <persName n="urn:cite:hmt:pers.pers119"> Μενελάῳ</persName> ἀρηγόνες εἰσὶ θεάων· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:4.8	<l xmlns="http://www.tei-c.org/ns/1.0" n="8"> <persName n="urn:cite:hmt:pers.pers116"> Ἥρη</persName> τ᾽ <rs n="urn:cite:hmt:place.place114" type="ethnic"> Ἀργείη</rs> καὶ <persName n="urn:cite:hmt:pers.pers67"> Ἀλαλκομενηῒς Ἀθήνη</persName> · </l>
urn:cts:greekLit:tlg0012.tlg001.msA:4.10	<l xmlns="http://www.tei-c.org/ns/1.0" n="10"> τέρπεσθον· τῷ δ᾽ αῦτε φιλομμειδὴς <persName n="urn:cite:hmt:pers.pers194"> Ἀφροδίτη</persName></l>
urn:cts:greekLit:tlg0012.tlg001.msA:4.13	<l xmlns="http://www.tei-c.org/ns/1.0" n="13"> ἀλλ`᾽ ἤτοι νίκη μὲν ἀρηϊφίλου <persName n="urn:cite:hmt:pers.pers119"> Μενελάου</persName> · </l>
urn:cts:greekLit:tlg0012.tlg001.msA:4.18	<l xmlns="http://www.tei-c.org/ns/1.0" n="18"> ἤτοι μὲν οἰκέοιτο πόλις <persName n="urn:cite:hmt:pers.pers145"> Πριάμοιο</persName> ἄνακτος· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:4.19	<l xmlns="http://www.tei-c.org/ns/1.0" n="19"> αῦτις δ᾽ <rs n="urn:cite:hmt:place.place114" type="ethnic"> Ἀργείην</rs> <persName n="urn:cite:hmt:pers.pers94"> Ἑλένην</persName> <persName n="urn:cite:hmt:pers.pers119"> Μενέλαος</persName> ἄγοιτο· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:4.20	<l xmlns="http://www.tei-c.org/ns/1.0" n="20"> Ὡς ἔφαθ᾽· αἱ δ᾽ ἐπέμυξαν <persName n="urn:cite:hmt:pers.pers67"> Ἀθηναίη</persName> τε καὶ <persName n="urn:cite:hmt:pers.pers116"> Ἥρη</persName> . </l>
urn:cts:greekLit:tlg0012.tlg001.msA:4.22	<l xmlns="http://www.tei-c.org/ns/1.0" n="22"> ἤτοι <persName n="urn:cite:hmt:pers.pers67"> Ἀθηναίη</persName> ἀκέων ἦν· οὐδέ τι εἶπε </l>
urn:cts:greekLit:tlg0012.tlg001.msA:4.23	<l xmlns="http://www.tei-c.org/ns/1.0" n="23"> σκυζομένη <persName n="urn:cite:hmt:pers.pers8"> Διῒ</persName> πατρὶ. χόλος δέ μιν ἄγριος ῄρει· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:4.24	<l xmlns="http://www.tei-c.org/ns/1.0" n="24"> <persName n="urn:cite:hmt:pers.pers116"> Ἥρῃ</persName> δ᾽ οὐκ ἔχαδὲ στῆθος χόλον· ἀλλὰ <choice> <sic> προσηῦδα</sic> <corr> προσηύδα</corr></choice></l>
urn:cts:greekLit:tlg0012.tlg001.msA:4.25	<l xmlns="http://www.tei-c.org/ns/1.0" n="25"> αἰνότατε <persName n="urn:cite:hmt:pers.pers8"> Κρονίδη</persName> · ποῖον τὸν μῦθον ἔειπες· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:4.28	<l xmlns="http://www.tei-c.org/ns/1.0" n="28"> λαὸν ἀγειρούσῃ. <persName n="urn:cite:hmt:pers.pers145"> Πριάμῳ</persName> κακὰ τοῖό τε παισίν· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:4.30	<l xmlns="http://www.tei-c.org/ns/1.0" n="30"> Τὴν δὲ μέγ᾽ ὀχθήσας προσέφη νεφεληγερέτα <persName n="urn:cite:hmt:pers.pers8"> Ζεύς</persName> · </l>
urn:cts:greekLit:tlg0012.tlg001.msA:4.31	<l xmlns="http://www.tei-c.org/ns/1.0" n="31"> δαιμονίη. τί νύ̆ σε <persName n="urn:cite:hmt:pers.pers145"> Πρίαμος</persName> <persName n="urn:cite:hmt:pers.pers145"> Πριάμοιό</persName> τε παῖδες </l>
urn:cts:greekLit:tlg0012.tlg001.msA:4.35	<l xmlns="http://www.tei-c.org/ns/1.0" n="35"> ὠμὸν βεβρώθοις <persName n="urn:cite:hmt:pers.pers145"> Πρίαμον</persName> <persName n="urn:cite:hmt:pers.pers145"> Πριάμοιό</persName> τε παῖδας </l>
urn:cts:greekLit:tlg0012.tlg001.msA:4.47	<l xmlns="http://www.tei-c.org/ns/1.0" n="47"> καὶ <persName n="urn:cite:hmt:pers.pers145"> Πρίαμος</persName> καὶ λαὸς <sic> ἐϋμμελίῳ</sic> <persName n="urn:cite:hmt:pers.pers145"> Πριάμοιο</persName> · </l>
urn:cts:greekLit:tlg0012.tlg001.msA:4.50	<l xmlns="http://www.tei-c.org/ns/1.0" n="50"> Τονδ`᾽ ἠμείβετ᾽ ἔπειτα βοῶπις πότνια <persName n="urn:cite:hmt:pers.pers116"> Ἥρη</persName> · </l>
urn:cts:greekLit:tlg0012.tlg001.msA:4.59	<l xmlns="http://www.tei-c.org/ns/1.0" n="59"> καί με πρεσβυτάτην τέκετο <persName n="urn:cite:hmt:pers.pers139"> Κρόνος</persName> ἀγκυλομήτης </l>
urn:cts:greekLit:tlg0012.tlg001.msA:4.64	<l xmlns="http://www.tei-c.org/ns/1.0" n="64"> ἀθάνατοι· σὺ δὲ θᾶσσον <persName n="urn:cite:hmt:pers.pers67"> Ἀθηναίῃ</persName> ἐπιτεῖλαι </l>
urn:cts:greekLit:tlg0012.tlg001.msA:4.69	<l xmlns="http://www.tei-c.org/ns/1.0" n="69"> αὐτίκ᾽ <persName n="urn:cite:hmt:pers.pers67"> Ἀθηναίην</persName> ἔπεα πτερόεντα <choice> <sic> προσηῦδα</sic> <corr> προσηύδα</corr></choice> · </l>
urn:cts:greekLit:tlg0012.tlg001.msA:4.73	<l xmlns="http://www.tei-c.org/ns/1.0" n="73"> Ὡς εἰπὼν ὤτρυνε, πάρος μεμαυῖαν <persName n="urn:cite:hmt:pers.pers67"> Ἀθήνην</persName> · </l>
urn:cts:greekLit:tlg0012.tlg001.msA:4.78	<l xmlns="http://www.tei-c.org/ns/1.0" n="78"> τῷ εἰκυῖ᾽ ἤϊξεν ἐπὶ χθόνα <persName n="urn:cite:hmt:pers.pers67"> Παλλὰς Ἀθήνη</persName> · </l>
urn:cts:greekLit:tlg0012.tlg001.msA:4.84	<l xmlns="http://www.tei-c.org/ns/1.0" n="84"> <persName n="urn:cite:hmt:pers.pers8"> Ζεὺς</persName> , ὅς τ᾽ ἀνθρώπων ταμίης πολέμοιο τέτυκται· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:4.87	<l xmlns="http://www.tei-c.org/ns/1.0" n="87"> <persName n="urn:cite:hmt:pers.pers504"> Λαοδόκῳ Ἀντηνορίδῃ</persName> κρατερῷ αἰχμητῇ </l>
urn:cts:greekLit:tlg0012.tlg001.msA:4.88	<l xmlns="http://www.tei-c.org/ns/1.0" n="88"> <persName n="urn:cite:hmt:pers.pers216"> Πάνδαρον</persName> ἀντίθεον διζημένη εἴ που ἐφε̆ύροι· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:4.89	<l xmlns="http://www.tei-c.org/ns/1.0" n="89"> εὗρε <persName n="urn:cite:hmt:pers.pers140"> Λυκάονος</persName> υἱὸν ἀμύμονά τε κρατερόν τε </l>
urn:cts:greekLit:tlg0012.tlg001.msA:4.91	<l xmlns="http://www.tei-c.org/ns/1.0" n="91"> λαῶν· οἵ, οἱ, ἕποντο ἀπ <persName n="urn:cite:hmt:pers.pers87"> Αἰσήποιο</persName> ῥοά̄ων· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:4.93	<l xmlns="http://www.tei-c.org/ns/1.0" n="93"> ῆ ρά νύ̆ μοί τι πίθοιο <persName n="urn:cite:hmt:pers.pers140"> Λυκάονος</persName> υἱὲ δαΐφρον. </l>
urn:cts:greekLit:tlg0012.tlg001.msA:4.94	<l xmlns="http://www.tei-c.org/ns/1.0" n="94"> τλαίης κεν <persName n="urn:cite:hmt:pers.pers119"> Μενελάῳ</persName> ἐπὶ προἕμεν ταχὺν ϊ̄όν· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:4.96	<l xmlns="http://www.tei-c.org/ns/1.0" n="96"> ἐκ πάντων δὲ μάλιστα <persName n="urn:cite:hmt:pers.pers129"> Ἀλεξάνδρῳ</persName> βασιλῆϊ· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:4.98	<l xmlns="http://www.tei-c.org/ns/1.0" n="98"> αἴ κεν ἴ̈δῃ <persName n="urn:cite:hmt:pers.pers119"> Μενέλαον</persName> ἀρήϊον <persName n="urn:cite:hmt:pers.pers23"> Ἀτρέος</persName> υἱὸν. </l>
urn:cts:greekLit:tlg0012.tlg001.msA:4.100	<l xmlns="http://www.tei-c.org/ns/1.0" n="100"> ἀλλά γ᾽ ὀΐστευσον <persName n="urn:cite:hmt:pers.pers119"> Μενελάου</persName> κυδαλίμοιο· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:4.101	<l xmlns="http://www.tei-c.org/ns/1.0" n="101"> εὔχεο δ`᾽ <persName n="urn:cite:hmt:pers.pers40"> Ἀπόλλωνι Λυκηγενέϊ</persName> κλυτοτόξῳ. </l>
urn:cts:greekLit:tlg0012.tlg001.msA:4.104	<l xmlns="http://www.tei-c.org/ns/1.0" n="104"> Ὣς φάτ᾽ <persName n="urn:cite:hmt:pers.pers67"> Ἀθηναίη</persName> . τῷ δὲ φρένας ἄφρονι πεῖθεν· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:4.115	<l xmlns="http://www.tei-c.org/ns/1.0" n="115"> πρὶν βλῆσθαι <persName n="urn:cite:hmt:pers.pers119"> Μενέλαον</persName> ἀρήϊον <persName n="urn:cite:hmt:pers.pers23"> Ἀτρέος</persName> υἱόν· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:4.119	<l xmlns="http://www.tei-c.org/ns/1.0" n="119"> εὔχετο δ᾽ <persName n="urn:cite:hmt:pers.pers40"> Ἀπόλλωνι Λυκηγενέϊ</persName> κλυτοτόξῳ. </l>
urn:cts:greekLit:tlg0012.tlg001.msA:4.127	<l xmlns="http://www.tei-c.org/ns/1.0" n="127"> Οὐδὲ σέθεν <persName n="urn:cite:hmt:pers.pers119"> Μενέλαε</persName> θεοὶ μάκαρες λελάθοντο </l>
urn:cts:greekLit:tlg0012.tlg001.msA:4.128	<l xmlns="http://www.tei-c.org/ns/1.0" n="128"> ἀθάνατοι· πρώτη δὲ <persName n="urn:cite:hmt:pers.pers8"> Διὸς</persName> θυγάτηρ ἀγελείη· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:4.146	<l xmlns="http://www.tei-c.org/ns/1.0" n="146"> τοῖοί τοι <persName n="urn:cite:hmt:pers.pers119"> Μενέλαε</persName> μιάνθην αἵματι μηροὶ</l>
urn:cts:greekLit:tlg0012.tlg001.msA:4.148	<l xmlns="http://www.tei-c.org/ns/1.0" n="148"> Ῥίγησεν δ᾽ ὰρ ἔπειτα ἄναξ ἀνδρῶν <persName n="urn:cite:hmt:pers.pers22"> Ἀγαμέμνων</persName></l>
urn:cts:greekLit:tlg0012.tlg001.msA:4.150	<l xmlns="http://www.tei-c.org/ns/1.0" n="150"> ῥίγησεν δὲ καὶ αὐτὸς ἀρηΐφιλος <persName n="urn:cite:hmt:pers.pers119"> Μενέλαος</persName> ·</l>
urn:cts:greekLit:tlg0012.tlg001.msA:4.153	<l xmlns="http://www.tei-c.org/ns/1.0" n="153"> τοῖς δὲ βαρὺ στενάχων μετέφη κρείων <persName n="urn:cite:hmt:pers.pers22"> Ἀγαμέμνων</persName> ·</l>
urn:cts:greekLit:tlg0012.tlg001.msA:4.154	<l xmlns="http://www.tei-c.org/ns/1.0" n="154"> χειρὸς ἔχων <persName n="urn:cite:hmt:pers.pers119"> Μενέλαον</persName> · ἐπεστενάχοντο δ`᾽ ἑταῖροι·</l>
urn:cts:greekLit:tlg0012.tlg001.msA:4.165	<l xmlns="http://www.tei-c.org/ns/1.0" n="165"> καὶ <persName n="urn:cite:hmt:pers.pers145"> Πρίαμος</persName> . καὶ λαὸς ἐϋμμελίω <persName n="urn:cite:hmt:pers.pers145"> Πριάμοιο</persName> · </l>
urn:cts:greekLit:tlg0012.tlg001.msA:4.166	<l xmlns="http://www.tei-c.org/ns/1.0" n="166"> <persName n="urn:cite:hmt:pers.pers8"> Ζεὺς</persName> δέ σφιν <persName n="urn:cite:hmt:pers.pers8"> Κρονίδης</persName> ὑψίζυγος, αἰθέρι ναίων· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:4.169	<l xmlns="http://www.tei-c.org/ns/1.0" n="169"> ἀλλά μοι αἰνὸν ἄχος σέθεν ἔσσεται ὦ <persName n="urn:cite:hmt:pers.pers119"> Μενέλαε</persName></l>
urn:cts:greekLit:tlg0012.tlg001.msA:4.173	<l xmlns="http://www.tei-c.org/ns/1.0" n="173"> καδ δέ κεν εὐχωλὴν <persName n="urn:cite:hmt:pers.pers145"> Πριάμῳ</persName> καὶ <rs n="urn:cite:hmt:place.place6" type="ethnic"> Τρωσὶ</rs> λίποιμεν </l>
urn:cts:greekLit:tlg0012.tlg001.msA:4.174	<l xmlns="http://www.tei-c.org/ns/1.0" n="174"> <rs n="urn:cite:hmt:place.place114" type="ethnic"> Ἀργείην</rs> <persName n="urn:cite:hmt:pers.pers94"> Ἑλένην</persName> · σέο δ᾽ ὀστέα πύσει ἄρουρα </l>
urn:cts:greekLit:tlg0012.tlg001.msA:4.177	<l xmlns="http://www.tei-c.org/ns/1.0" n="177"> τύμβῳ ἐπιθρῴσκων <persName n="urn:cite:hmt:pers.pers119"> Μενελάου</persName> κυδαλίμοιο· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:4.178	<l xmlns="http://www.tei-c.org/ns/1.0" n="178"> αἴθ᾽ οὕτως ἐπὶ πᾶσι χόλον τελέσει <persName n="urn:cite:hmt:pers.pers22"> Ἀγαμέμνων</persName></l>
urn:cts:greekLit:tlg0012.tlg001.msA:4.181	<l xmlns="http://www.tei-c.org/ns/1.0" n="181"> σὺν κεινῇσιν νηυσὶ· λιπὼν ἀγαθὸν <persName n="urn:cite:hmt:pers.pers119"> Μενέλαον</persName> · </l>
urn:cts:greekLit:tlg0012.tlg001.msA:4.183	<l xmlns="http://www.tei-c.org/ns/1.0" n="183"> Τὸν δ`᾽ ἐπιθαρσύνων προσέφη ξανθὸς <persName n="urn:cite:hmt:pers.pers119"> Μενέλαος</persName> · </l>
urn:cts:greekLit:tlg0012.tlg001.msA:4.188	<l xmlns="http://www.tei-c.org/ns/1.0" n="188"> Τὸν δ`᾽ ἀπαμειβόμενος προσέφη κρείων <persName n="urn:cite:hmt:pers.pers22"> Ἀγαμέμνων</persName> · </l>
urn:cts:greekLit:tlg0012.tlg001.msA:4.189	<l xmlns="http://www.tei-c.org/ns/1.0" n="189"> αἲ γὰρ δὴ οὕτως εἴη φίλος ὦ <persName n="urn:cite:hmt:pers.pers119"> Μενέλαε</persName> · </l>
urn:cts:greekLit:tlg0012.tlg001.msA:4.192	<l xmlns="http://www.tei-c.org/ns/1.0" n="192"> ῆ· καὶ <persName n="urn:cite:hmt:pers.pers159"> Ταλθύβιον</persName> θεῖον κήρυκα <choice> <sic> προσηῦδα</sic> <corr> προσηύδα</corr></choice> · </l>
urn:cts:greekLit:tlg0012.tlg001.msA:4.193	<l xmlns="http://www.tei-c.org/ns/1.0" n="193"> <persName n="urn:cite:hmt:pers.pers159"> Ταλθύβι᾽</persName> · ὅτι τάχιστα <persName n="urn:cite:hmt:pers.pers89"> Μαχάονα</persName> δεῦρο κάλεσσον </l>
urn:cts:greekLit:tlg0012.tlg001.msA:4.194	<l xmlns="http://www.tei-c.org/ns/1.0" n="194"> φῶτ᾽ <persName n="urn:cite:hmt:pers.pers445"> Ἀσκληπιοῦ</persName> υἱὸν ἀμύμονος ἰ̈ητῆρος· </l>
